league,season,md,source_file,player,name_key,team,club,position,jersey,nationality,player_id,date_of_birth,apps,minutes,starts,sub_in,sub_out,goals,own_goals,assists,penalties,yellows,reds_direct,reds_second_yellow
UPL,2026/27,1,U21_stats_sample.xlsx,Iran Musinguzi,IRAN MUSINGUZI,MBARARA,Mbarara City FC,,41,Uganda,,,0,0,0,0,0,0,0,0,0,0,0,0
UPL,2026/27,1,U21_stats_sample.xlsx,Juma Ssajjabi,JUMA SSAJJABI,LUGAZI,Lugazi FC,Defender,42,Uganda,,,2,180,2,0,0,0,0,0,0,1,0,0
UPL,2026/27,1,U21_stats_sample.xlsx,Allan Batali Igama,ALLAN BATALI IGAMA,LUGAZI,Lugazi FC,Goalkeeper,38,Uganda,,,0,0,0,0,0,0,0,0,0,0,0,0
UPL,2026/27,1,U21_stats_sample.xlsx,Muhammad Kakooza,KAKOOZA MUHAMMAD,LUGAZI,Lugazi FC,Goalkeeper,36,Uganda,,,0,0,0,0,0,0,0,0,0,0,0,0
UPL,2026/27,1,U21_stats_sample.xlsx,Amagu Louis Anguti,AMAGU ANGUTI LOUIS,LUGAZI,Lugazi FC,Defender,44,Uganda,,,0,0,0,0,0,0,0,0,0,0,0,0
UPL,2026/27,1,U21_stats_sample.xlsx,Joshua Omara,JOSHUA OMARA,BLACKS,Blacks Power FC,Midfield,39,Uganda,,,2,24,0,2,0,0,0,0,0,0,0,0
UPL,2026/27,1,U21_stats_sample.xlsx,Joel Kigenyi,JOEL KIGENYI,UPDF,UPDF FC,,42,Uganda,,,0,0,0,0,0,0,0,0,0,0,0,0
UPL,2026/27,1,U21_stats_sample.xlsx,Arode Ayesiga,ARODE AYESIGA,UPDF,UPDF FC,Forward,37,Uganda,,,1,53,0,1,0,0,0,0,0,0,0,0
UPL,2026/27,1,U21_stats_sample.xlsx,Joel Ineah,INEAH JOEL,UPDF,UPDF FC,Forward,40,Uganda,,,1,79,0,1,0,0,0,0,0,0,0,0
UPL,2026/27,1,U21_stats_sample.xlsx,Yusuf Bogere,BOGERE YUSUF,ENTEBBE,ENTEBBE UPPC FC,Midfield,36,Uganda,,,0,0,0,0,0,0,0,0,0,0,0,0
