league,season,md,source,player_key,player_id,player,team,position,jersey,birth_year,u21_born_from,apps,minutes,starts,sub_in,sub_out,goals,own_goals,assists,penalties,yellows,reds_direct,reds_second_yellow,report_minutes,team_points,team_matches
UPL,2025/26,2,reports,056374M04,056374M04,Lawrence Muwonge Bukenya,EXPRESS,,28,2004.0,2004-01-01,1,90,1,0,0,0,,,,0,0,0,90.0,0.0,1.0
UPL,2025/26,2,reports,033201M06,033201M06,Alex Yiga,KCCA,,30,2006.0,2004-01-01,1,23,0,1,0,0,,,,0,0,0,23.0,3.0,1.0
UPL,2025/26,2,reports,021673M04,021673M04,Haruna Lukwago,KCCA,,29,2004.0,2004-01-01,0,0,0,0,0,0,,,,0,0,0,0.0,3.0,1.0
UPL,2025/26,2,reports,025433M04,025433M04,James Mubezi,KCCA,,26,2004.0,2004-01-01,0,0,0,0,0,0,,,,0,0,0,0.0,3.0,1.0
UPL,2025/26,2,reports,005883M04,005883M04,Joel Sserunjogi,KCCA,,22,2004.0,2004-01-01,1,90,1,0,0,0,,,,0,0,0,90.0,3.0,1.0
UPL,2025/26,2,reports,040861M04,040861M04,Shafik Nana Kwikiriza,KCCA,,19,2004.0,2004-01-01,1,84,1,0,1,0,,,,0,0,0,84.0,3.0,1.0
UPL,2025/26,2,reports,055880M05,055880M05,Sharifu Ssengendo,KCCA,,5,2005.0,2004-01-01,1,23,0,1,0,0,,,,0,0,0,23.0,3.0,1.0
UPL,2025/26,2,reports,033211M07,033211M07,Steven James Oyirwoth,KCCA,,45,2007.0,2004-01-01,0,0,0,0,0,0,,,,0,0,0,0.0,3.0,1.0
UPL,2025/26,2,reports,052610M04,052610M04,Ivan Mayanja,MAROONS,,10,2004.0,2004-01-01,1,46,1,0,1,0,,,,0,0,0,46.0,0.0,1.0
UPL,2025/26,2,reports,043270M06,043270M06,Jamal Ssemwogerere,MAROONS,,29,2006.0,2004-01-01,1,90,1,0,0,0,,,,0,0,0,90.0,0.0,1.0
UPL,2025/26,2,reports,057902M06,057902M06,Ambrose Arinda,MBARARA,,16,2006.0,2004-01-01,1,60,1,0,1,0,,,,0,0,0,60.0,0.0,1.0
UPL,2025/26,2,reports,055878M04,055878M04,Henry Kitegenyi,MBARARA,,9,2004.0,2004-01-01,1,90,1,0,0,0,,,,1,0,0,90.0,0.0,1.0
UPL,2025/26,2,reports,057901M05,057901M05,Hudson Mbalire,NEC,,30,2005.0,2004-01-01,0,0,0,0,0,0,,,,0,0,0,0.0,1.0,1.0
UPL,2025/26,2,reports,065371M05,065371M05,Jackson Ssembatya,NEC,,26,2005.0,2004-01-01,0,0,0,0,0,0,,,,0,0,0,0.0,1.0,1.0
UPL,2025/26,2,reports,025443M04,025443M04,Joseph Seremba,NEC,,15,2004.0,2004-01-01,1,90,1,0,0,0,,,,1,0,0,90.0,1.0,1.0
UPL,2025/26,2,reports,055885M06,055885M06,Shamiru Kimwero,NEC,,13,2006.0,2004-01-01,1,90,1,0,0,0,,,,0,0,0,90.0,1.0,1.0
UPL,2025/26,2,reports,010972M05,010972M05,Abudshakur Ramsey Jemba,POLICE,,28,2005.0,2004-01-01,1,78,1,0,1,0,,,,0,0,0,78.0,3.0,1.0
UPL,2025/26,2,reports,065938M04,065938M04,Bedia Djuma Ikamba,POLICE,,15,2004.0,2004-01-01,1,34,0,1,0,1,,,,0,0,0,34.0,3.0,1.0
