game,md,team,opponent,venue,gf,ga,gd,result,points,was_ahead,was_behind,points_from_losing,points_dropped_from_winning,win_from_behind,draw_from_behind,loss_from_ahead,draw_from_ahead
BUL-VS-EXPRESS,5,BUL,EXPRESS,home,0,0,0,D,1,False,False,0,0,False,False,False,False
ENTEBBE-VS-VIPERS,5,VIPERS,ENTEBBE,away,1,0,1,W,3,True,False,0,0,False,False,False,False
ENTEBBE-VS-VIPERS,5,ENTEBBE,VIPERS,home,0,1,-1,L,0,False,True,0,0,False,False,False,False
KCCA-VS-CALVARY,5,CALVARY,KCCA,away,2,4,-2,L,0,False,True,0,0,False,False,False,False
KCCA-VS-CALVARY,5,KCCA,CALVARY,home,4,2,2,W,3,True,False,0,0,False,False,False,False
KITARA-VS-LUGAZI,5,LUGAZI,KITARA,away,0,4,-4,L,0,False,True,0,0,False,False,False,False
KITARA-VS-LUGAZI,5,KITARA,LUGAZI,home,4,0,4,W,3,True,False,0,0,False,False,False,False
MBARARA-VS-NEC,5,NEC,MBARARA,away,1,0,1,W,3,True,False,0,0,False,False,False,False
MBARARA-VS-NEC,5,MBARARA,NEC,home,0,1,-1,L,0,False,True,0,0,False,False,False,False
POLICE-VS-MAROONS,5,MAROONS,POLICE,away,1,2,-1,L,0,False,True,0,0,False,False,False,False
POLICE-VS-MAROONS,5,POLICE,MAROONS,home,2,1,1,W,3,True,False,0,0,False,False,False,False
URA-VS-UPDF,5,UPDF,URA,away,2,3,-1,L,0,False,True,0,0,False,False,False,False
URA-VS-UPDF,5,URA,UPDF,home,3,2,1,W,3,True,False,0,0,False,False,False,False
CALVARY-VS-ENTEBBE,6,ENTEBBE,CALVARY,away,4,2,2,W,3,True,False,0,0,False,False,False,False
CALVARY-VS-ENTEBBE,6,CALVARY,ENTEBBE,home,2,4,-2,L,0,False,True,0,0,False,False,False,False
EXPRESS-VS-MBARARA,6,MBARARA,EXPRESS,away,1,4,-3,L,0,False,True,0,0,False,False,False,False
EXPRESS-VS-MBARARA,6,EXPRESS,MBARARA,home,4,1,3,W,3,True,False,0,0,False,False,False,False
LUGAZI-VS-BUHIMBA,6,BUHIMBA,LUGAZI,away,2,5,-3,L,0,False,True,0,0,False,False,False,False
LUGAZI-VS-BUHIMBA,6,LUGAZI,BUHIMBA,home,5,2,3,W,3,True,False,0,0,False,False,False,False
MAROONS-VS-URA,6,URA,MAROONS,away,0,0,0,D,1,False,False,0,0,False,False,False,False
MAROONS-VS-URA,6,MAROONS,URA,home,0,0,0,D,1,False,False,0,0,False,False,False,False
NEC-VS-BUL,6,BUL,NEC,away,1,1,0,D,1,False,True,1,0,False,True,False,False
NEC-VS-BUL,6,NEC,BUL,home,1,1,0,D,1,True,False,0,2,False,False,False,True
UPDF-VS-POLICE,6,POLICE,UPDF,away,2,1,1,W,3,True,False,0,0,False,False,False,False
UPDF-VS-POLICE,6,UPDF,POLICE,home,1,2,-1,L,0,False,True,0,0,False,False,False,False
VILLA-VS-KITARA,6,KITARA,VILLA,away,0,1,-1,L,0,False,True,0,0,False,False,False,False
VILLA-VS-KITARA,6,VILLA,KITARA,home,1,0,1,W,3,True,False,0,0,False,False,False,False
VIPERS-VS-KCCA,6,KCCA,VIPERS,away,0,1,-1,L,0,False,True,0,0,False,False,False,False
VIPERS-VS-KCCA,6,VIPERS,KCCA,home,1,0,1,W,3,True,False,0,0,False,False,False,False
BUHIMBA-VS-MBARARA,7,MBARARA,BUHIMBA,away,0,0,0,D,1,False,False,0,0,False,False,False,False
BUHIMBA-VS-MBARARA,7,BUHIMBA,MBARARA,home,0,0,0,D,1,False,False,0,0,False,False,False,False
CALVARY-VS-UPDF,7,UPDF,CALVARY,away,1,0,1,W,3,True,False,0,0,False,False,False,False
CALVARY-VS-UPDF,7,CALVARY,UPDF,home,0,1,-1,L,0,False,True,0,0,False,False,False,False
ENTEBBE-VS-POLICE,7,POLICE,ENTEBBE,away,2,0,2,W,3,True,False,0,0,False,False,False,False
ENTEBBE-VS-POLICE,7,ENTEBBE,POLICE,home,0,2,-2,L,0,False,True,0,0,False,False,False,False
KCCA-VS-URA,7,URA,KCCA,away,1,2,-1,L,0,False,True,0,0,False,False,False,False
