game,player,team,caution,min,added_time,double-caution,md
MAROONS-vs-URA,Joseph Ssemujju,URA,yellow,53,no,No,6
MAROONS-vs-URA,Norman Namanya,URA,yellow,55,no,No,6
MAROONS-vs-URA,George Masembe,URA,yellow,55,no,No,6
MAROONS-vs-URA,Ronald Orombi,MAROONS,yellow,59,no,No,6
EXPRESS-vs-MBARARA,Sulaiman Ssesaazi,MBARARA,yellow,8,no,No,6
EXPRESS-vs-MBARARA,KHASIM MUSTAPHA,EXPRESS,yellow,59,no,No,6
UPDF-vs-POLICE,Rashid Faridi,UPDF,yellow,70,no,No,6
UPDF-vs-POLICE,Deus Bukenya,POLICE,yellow,71,no,No,6
VILLA-vs-KITARA,Yunusu Sibira,KITARA,yellow,12,no,No,6
VILLA-vs-KITARA,Patrick Henry Kaddu,KITARA,yellow,56,no,No,6
VILLA-vs-KITARA,Hassan Mubira,Villa,yellow,70,no,No,6
CALVARY-vs-ENTEBBE,John Rogers,CALVARY,yellow,72,no,No,6
VIPERS-vs-KCCA,Joel Sserunjogi,KCCA,yellow,27,no,No,6
VIPERS-vs-KCCA,Joseph Youngman Marvin,VIPERS,yellow,37,no,No,6
VIPERS-vs-KCCA,Enock Ssebaggala,VIPERS,yellow,87,no,No,6
LUGAZI-vs-BUHIMBA,Ayiko Richard,LUGAZI,yellow,15,no,No,6
LUGAZI-vs-BUHIMBA,Davis Kakaire,BUHIMBA,yellow,68,no,No,6
LUGAZI-vs-BUHIMBA,Paul Wasswa,LUGAZI,yellow,82,no,No,6
NEC-vs-BUL,Allan Mugalu,NEC,yellow,43,no,No,6
NEC-vs-BUL,Walter Ochora,BUL,yellow,88,no,No,6
ENTEBBE-vs-POLICE,Bedia Djuma Ikamba,POLICE,yellow,40,no,No,7
ENTEBBE-vs-POLICE,Brian James Obedi,POLICE,yellow,45(+2),yes,No,7
ENTEBBE-vs-POLICE,Musitafa Mujuzi,ENTEBBE,yellow,55,no,No,7
ENTEBBE-vs-POLICE,Saidi Kyeyune,POLICE,yellow,64,no,No,7
ENTEBBE-vs-POLICE,Jonathan Gift Odongo,ENTEBBE,yellow,65,no,No,7
ENTEBBE-vs-POLICE,Dennis Kalanzi,POLICE,yellow,90(+2),yes,No,7
CALVARY-vs-UPDF,Allan Kigundu,CALVARY,yellow,76,no,No,7
